minSummer,maxSummer,minWinter,maxWinter,minSpring,maxSpring,minFall,maxFall,parkCode
51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2,acad
56.4,82.8,17.9,32.0,29.8,40.0,44.4,67.2,arch
56.2,79.2,18.0,25.9,12.5,41.4,46.9,60.8,badl
78.7,96.8,42.0,55.8,30.0,55.6,74.8,96.9,bibe
76.5,92.2,59.8,73.0,58.0,69.4,81.1,89.0,bisc
44.7,80.6,7.2,40.4,17.0,33.0,40.4,62.8,blca
39.4,62.0,14.1,29.5,15.3,21.0,40.2,50.6,brca
58.9,82.9,18.7,35.3,32.8,41.3,49.2,69.8,cany
48.5,77.9,18.3,31.4,25.6,39.0,41.4,65.6,care
70.3,90.8,34.1,44.5,28.7,48.4,65.4,83.2,cave
53.0,67.1,49.7,62.4,45.8,54.4,59.1,68.4,chis
71.6,84.1,25.8,45.8,26.1,50.8,60.2,79.8,cong
27.0,56.6,19.8,31.6,11.0,24.9,35.7,46.8,crla
63.5,80.1,17.0,35.6,15.0,38.2,47.3,70.9,cuva
42.2,69.4,33.6,40.6,29.5,40.9,49.7,61.8,deva
89.7,95.1,59.8,69.1,58.8,63.7,80.8,91.8,drto
73.6,96.6,55.0,75.2,53.6,79.6,78.6,90.7,ever
23.4,38.6,12.3,17.7,5.4,24.6,36.2,41.5,glac
20.1,50.8,7.5,22.5,7.6,16.6,20.9,46.5,grba
48.9,73.3,23.3,39.4,22.1,29.8,48.0,60.2,grca
58.5,65.3,18.3,36.2,7.0,38.8,50.9,63.9,grsm
22.8,56.6,3.9,23.7,2.8,25.8,32.5,50.6,grte
61.1,83.7,26.2,42.1,20.4,42.2,61.2,74.7,gumo
50.0,61.4,43.6,61.3,48.6,58.7,47.9,63.7,hale
56.6,65.3,44.3,74.2,52.7,69.3,55.5,75.6,havo
71.8,96.4,29.8,53.6,21.1,44.7,70.9,96.5,hosp
62.3,85.3,21.7,27.2,16.3,37.3,57.6,75.5,indu
50.5,74.3,4.4,17.3,7.7,22.0,53.7,56.9,isro
71.4,90.6,19.9,42.6,16.2,45.9,64.3,86.0,jeff
60.0,90.5,41.2,55.6,47.8,62.4,68.3,88.4,jotr
35.1,40.6,-2.4,5.3,5.3,11.0,13.0,23.9,kefj
32.9,45.7,-24.5,-21.0,2.1,13.4,21.0,33.3,kova
22.8,55.5,9.5,31.4,15.0,23.4,29.7,55.0,lavo
66.4,79.0,22.7,46.1,14.5,42.6,58.9,79.0,maca
46.6,73.5,13.0,29.7,18.6,29.5,45.8,56.7,meve
15.9,41.1,14.0,22.7,11.8,16.4,17.6,36.2,mora
38.9,56.1,6.7,30.7,24.6,38.9,38.4,57.1,noca
24.6,52.8,3.3,30.2,23.2,28.7,30.5,49.5,olym
48.1,82.1,22.8,48.3,34.7,39.8,51.5,70.8,pefo
41.3,72.5,31.8,55.9,39.1,51.6,48.4,75.6,pinn
25.9,52.5,4.2,21.4,-1.8,14.7,13.9,34.6,romo
70.2,94.8,51.9,66.1,42.5,63.7,67.2,88.5,sagu
48.2,59.6,5.4,32.8,11.0,36.6,41.5,51.3,shen
52.9,74.7,2.5,24.5,-2.3,12.7,52.2,66.0,thro
78.4,87.1,74.2,78.3,71.3,76.9,82.5,89.3,viis
62.4,88.4,3.4,16.4,0.8,15.8,56.1,63.0,voya
70.1,95.4,24.9,53.7,32.3,55.9,57.6,89.1,whsa
55.5,74.8,17.4,27.9,14.6,35.6,38.2,57.8,wica
20.9,49.7,-5.0,22.2,2.1,19.1,24.4,39.0,yell
19.0,49.2,4.0,29.6,11.7,23.5,26.7,51.7,yose
41.5,75.2,18.4,38.9,26.8,30.4,40.5,58.8,zion
